symbol,price,ram_raw,exp_slope,ret_12_1,ret_3m,stoch_k,rsi,cci,wpr,ma_score,stoch_d,atr,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,ret_1w,weekly_exp_slope,weekly_rsi,vol_surge,price_vs_ema20,ram_score,rank_ram_score,rank_exp_slope,rank_ret_12_1,rank_ret_3m,rank_stoch_k,rank_rsi,rank_cci,rank_wpr,rank_ma_score,rank_vol_ratio,momentum_score,weekly_rank_ret_1w,weekly_rank_weekly_exp_slope,weekly_rank_weekly_rsi,weekly_rank_vol_surge,weekly_rank_price_vs_ema20,weekly_score,market,rank_change,name,sector
S61.SI,3.5199999809265137,2.6760600766166713,0.38098385186797584,0.48085801024629093,-0.004009274267456231,78.57142857142857,57.49999999999999,65.42056074766347,-21.428571428571427,2.0,61.904761904761905,0.02733330726623535,0,0,1.0,1.0,0.6659675960194095,-0.061470221666431235,0.005714280264718097,1.768728179111252e-05,56.25,0.6270398789581757,-7.938142317609476e-05,1.9883475278931573,90.96715328467153,82.91592128801432,77.73722627737226,51.24999999999999,72.12822796081923,60.01780943900267,72.66251113089938,27.960819234194123,52.0017793594306,2.5892857142857144,59.023073368868985,60.4982206405694,53.113879003558715,65.92153284671532,8.19964349376114,51.779359430604984,47.90252708304191,SG,-76.0,SBS Transit Ltd,Industrials
S63.SI,10.890000343322754,1.509296803439505,0.27427887478938706,0.3922827984230828,0.018620363106848448,22.019827345466908,63.03091327661451,-109.90683059021171,-77.98017265453309,2.0,59.04140231757568,0.15241330464680988,0,0,1.0,1.0,1.0497588017533468,-0.0430579759394174,-0.013586922015269343,-0.05407561060511396,42.85716880743611,1.963966011501089,-0.010258355108572093,1.3812191488754832,79.56204379562044,80.76923076923077,72.99270072992701,58.214285714285715,28.67319679430098,72.84060552092609,15.49421193232413,71.41585040071237,52.0017793594306,56.51785714285714,58.84817621596153,41.54804270462634,39.32384341637011,45.71167883211679,95.72192513368985,41.014234875444835,52.66394499244959,SG,-73.0,Singapore Technologies Engineering Ltd,Industrials
C09.SI,8.359999656677246,2.5175335354191617,-0.20714385724216156,0.6612795045054682,-0.07776873371108006,70.27022498988332,64.70585760362576,36.24586779601453,-29.729775010116683,3.0,73.42340832996113,0.11333341598510742,1,1,0.0,1.0,1.044915991356589,-0.13863595451386812,-0.0011947704920629576,0.14074192144984007,48.8371835134224,0.9484096586615107,0.008859163819253446,1.9058578196540226,90.05474452554745,21.645796064400717,83.3941605839416,31.25,65.00445235975066,76.1353517364203,62.51113089937667,35.08459483526269,65.34697508896798,55.17857142857143,58.56057775222395,52.66903914590747,69.21708185053382,53.46715328467153,49.643493761140824,61.83274021352313,57.365901651155355,SG,-83.0,City Developments Limited,Real Estate
TS0U.SI,0.35499998927116394,1.7265381637126294,-0.0034153577086048,0.3925445448504803,-0.04054058190241916,100.0,50.0,93.333333333334,-0.0,1.0,33.33333333333332,0.002666664123535156,0,0,0.0,1.0,1.1519593440196751,-0.05333336194356286,0.014285700905079413,0.0793269018533489,66.66666666666666,1.6231491249889212,0.002473946213053413,1.4942612697155255,82.11678832116789,49.463327370304114,73.08394160583941,40.625,93.36598397150489,42.742653606411395,81.83437221727516,6.723063223508459,36.87722419928826,76.78571428571429,58.36180688010139,68.81672597864768,66.10320284697508,78.01094890510949,92.42424242424242,54.982206405693944,72.06746531213373,SG,-82.0,OUE Real Estate Investment Trust,Real Estate
CJLU.SI,0.9850000143051147,2.256234678081044,0.08342515587609331,0.19393546315927335,0.032814195843958505,12.280970821670948,43.774663007773526,-53.27937837812112,-87.71902917832905,3.0,61.01376480963154,0.00408634344736735,0,1,1.0,1.0,1.095920119033681,-0.014999985694885254,-0.010050241623450806,0.03401814540158356,25.000000000000014,2.419834090830582,-0.004032926975892082,1.769890262788035,88.13868613138686,72.09302325581395,58.02919708029197,61.517857142857146,21.90560997328584,27.871772039180765,32.32413178984862,78.18343722172752,65.34697508896798,66.69642857142857,57.21071182947892,44.88434163701068,62.63345195729537,22.764598540145986,97.95008912655972,46.79715302491103,55.005926857184555,SG,-91.0,NetLink NBN Trust,Communication Services
5WJ.SI,0.8849999904632568,6.330019620579131,0.5032185171491715,3.5410629745325357,0.17433657120462964,9.09089923890297,17.948726570031766,-103.70373931568382,-90.90910076109702,2.0,5.071122196312977,0.021666669845581056,0,0,1.0,1.0,0.9757943427298266,-0.24358972399584256,-0.01117317394007622,-0.5457181082730358,42.85715502134696,0.2919497236953775,-0.047675535805767666,3.8896951156357766,98.9963503649635,85.59928443649373,96.53284671532847,82.32142857142857,19.946571682991987,1.6918967052537845,17.09706144256456,80.14247551202138,52.0017793594306,37.589285714285715,57.19189805047623,44.03914590747331,12.544483985765126,45.52919708029197,0.6238859180035651,15.391459074733097,23.625634393253414,SG,-89.0,MoneyMax Financial Services Ltd.,Consumer Cyclical
AP4.SI,0.8700000047683716,0.3859715935579343,0.2441796133997333,0.13912728376671013,0.23214363195653354,0.0,39.99999403953517,-138.46154598559647,-100.0,3.0,7.407397595946904,0.01499999761581421,0,1,1.0,1.0,1.4972895384141096,-0.10309280504365892,-0.05945946642567057,-0.7730291277721089,21.052618370157518,0.5366942075428556,-0.015886854277004314,0.831043726059297,48.35766423357664,79.96422182468694,52.0985401459854,87.41071428571429,7.524487978628673,21.193232413178986,8.281389136242208,92.56455921638468,65.34697508896798,97.67857142857143,56.04203557519374,14.590747330960854,4.715302491103203,18.15693430656934,4.09982174688057,35.587188612099645,15.429998897522722,SG,-104.0,Riverstone Holdings Limited,Healthcare
T82U.SI,1.4500000476837158,2.0853369821243146,0.023723471124294983,0.4096175576581391,0.08011722665871956,60.000095367295216,52.94116822082568,-25.92579837696276,-39.999904632704784,2.0,40.00006357819683,0.012000020345052083,0,0,1.0,1.0,0.8468103789452854,-0.05228420997271033,-0.006849308357518069,-0.2219561020991394,42.85716718550964,0.9258053359254113,-0.005820714022643614,1.680963191196616,86.04014598540147,67.17352415026834,74.17883211678831,70.89285714285715,57.88067675868211,48.975957257346394,40.78361531611755,42.20837043633126,52.0017793594306,14.285714285714285,55.44214728089374,47.686832740213525,28.291814946619215,45.62043795620438,46.3458110516934,45.01779359430605,42.59253805780732,SG,-142.0,Suntec Real Estate Investment Trust,Real Estate
H22.SI,3.0299999713897705,3.3734737472417087,0.004495397385879164,1.6022431763813785,0.06667066742765049,0.0,27.586213983903463,-175.37153557847682,-100.0,1.0,0.0,0.09800001780192057,0,0,0.0,1.0,1.2660144306237846,-0.2150258928142924,-0.09821426607414918,-0.8502742400765847,9.756138692048339,0.6448391479297837,-0.07920659388987239,2.351248590246918,94.34306569343066,62.432915921288014,93.06569343065694,67.67857142857143,7.524487978628673,6.144256455921639,3.1166518254674975,92.56455921638468,36.87722419928826,88.92857142857142,55.267599757820925,5.871886120996441,1.9572953736654803,8.120437956204379,9.358288770053475,6.93950177935943,6.449482000055842,SG,-125.0,Hong Leong Asia Ltd.,Consumer Cyclical
G07.SI,15.8100004196167,-0.7112515564229387,0.029455878282719353,-0.3644093747376882,0.009470137976858917,94.73721195207526,68.75004967058467,91.88314576094201,-5.26278804792475,4.0,94.3240806923168,0.0339999516805013,1,1,1.0,1.0,1.0559413791217804,-0.3640070929876221,0.0063653966407959395,0.01662590501746444,81.25014901175405,1.0112079701120797,0.004379826154696342,0.5636187134603111,11.861313868613138,67.79964221824687,7.39051094890511,55.53571428571429,83.97150489759572,83.793410507569,81.65627782724845,16.117542297417632,85.67615658362989,58.03571428571429,55.183778772065445,61.29893238434164,60.67615658362989,92.51824817518248,57.84313725490197,57.02846975088968,65.87298882978914,SG,-132.0,Great Eastern Holdings Limited,Financial Services
P52.SI,1.5,2.9668911816105625,1.1849290572489104,1.1155340387334323,0.05776693691485324,14.999991059300086,25.806441689127382,-42.98245944254743,-85.00000894069991,2.0,7.564097232601125,0.025999991099039714,0,0,1.0,1.0,0.8739855378504247,-0.13294798643797956,0.020408143405366452,-0.14771235198646757,66.66666666666666,1.1064494457507559,-0.02349216885756733,2.1396822685402848,92.7007299270073,91.77101967799642,89.6897810218978,66.16071428571428,24.309884238646482,5.342831700801424,35.52983081032948,75.77916295636687,52.0017793594306,18.125,55.141073397819056,73.30960854092527,31.85053380782918,78.01094890510949,68.71657754010695,29.537366548042705,56.28500706840272,SG,-146.0,Pan-United Corporation Ltd,Basic Materials
J69U.SI,2.2699999809265137,0.7204485408770008,0.0010620069913659363,0.08298236941120196,0.01793720247125674,100.0,61.11111111111111,83.64779874213892,-0.0,3.0,94.44444444444444,0.012666654586791993,1,1,1.0,0.0,0.8476097902885613,-0.04986244512374749,0.013392844313413477,0.010961528379068509,71.42857142857143,1.2388474250159045,0.004127902403429307,0.9715716700198024,59.397810218978094,60.196779964221825,44.89051094890511,58.12500000000001,93.36598397150489,68.92252894033838,78.6286731967943,6.723063223508459,65.34697508896798,14.374999999999998,54.99723255532191,68.14946619217082,59.7864768683274,83.4397810218978,79.14438502673798,56.67259786476868,69.43854139478053,SG,-162.0,Frasers Centrepoint Trust,Real Estate
