symbol,price,ram_raw,ram_score,exp_slope,ret_12_1,ret_3m,stoch_k,stoch_d,rsi,cci,wpr,atr,ma_score,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,rank_change,market,momentum_score,name,sector,ret_1w,weekly_exp_slope,weekly_rsi,vol_surge,price_vs_ema20,weekly_score,weekly_rank_change
ODFL,242.57000732421875,0.6400251727545858,0.9670823394037795,0.22753318348629306,0.24688047311257488,0.2521394069356899,92.91690587663324,97.6389686255444,89.80131218630011,126.64328211421049,-7.083094123366762,3.6124165852864585,4.0,1,1,1,1,0.9296650416197391,-0.012015301795810007,25,US,67.86357563756948,"Old Dominion Freight Line, Inc.",Industrials,0.07873635638794174,55.64907337269039,87.50268264618805,1.1310001353937968,0.10091232977917208,93.41220974687111,0
MNST,89.55000305175781,0.781972226129254,1.0327210920373509,0.013251287162541514,0.20587303524925593,0.18436717800393398,100.0,90.0598732084615,59.332341551232105,114.67774173806659,-0.0,0.9633336385091146,4.0,1,1,1,1,1.1641533968932911,0.0,25,US,67.50508942274813,Monster Beverage Corporation,Consumer Defensive,0.016689386809082052,0.3930081211386279,67.54177045550554,0.9797530609880135,0.035988760088951244,69.33083826310917,0
EIX,73.33000183105469,1.3734371885566845,1.310893349787254,0.025810481736855892,0.3543012585622276,0.034217649567848785,100.0,91.7183980488976,66.35291442522305,197.80070853484614,-0.0,0.9546676635742187,4.0,1,1,1,1,0.9680212887175359,-0.03284091102336828,32,US,66.2558349436585,Edison International,Utilities,0.04847010682460984,0.05541816225769926,82.53354146958642,0.9184214180976721,0.037076427209901563,73.99967805545495,0
FTNT,144.67999267578125,0.0960403834073961,0.7752659501786966,1.9713474313383335,0.04318841759133463,0.7291740867932779,78.46350501722459,89.88289070597301,71.99677352413865,68.19605639393623,-21.536494982775412,3.3800008138020834,4.0,1,1,1,1,1.0383612701851723,-0.03334005180872268,32,US,66.24096428656631,"Fortinet, Inc.",Technology,0.0486336985990492,35.47553590527987,65.64099682162094,1.057784861226159,0.11105188939951494,84.6974928568554,0
ESS,285.42999267578125,-0.0006836680811710696,0.748855958045786,0.195198694277752,-0.0001425403846353479,0.13083519877004202,100.0,100.0,80.56572808572955,216.63438565043668,-0.0,2.101332600911458,4.0,1,1,1,1,1.0591455596783643,0.0,33,US,66.21933423988676,"Essex Property Trust, Inc.",Real Estate,0.046911595291087904,0.5339734124636695,,1.1009820875069334,0.03987309964221497,81.37450199203187,0
EXPD,160.44000244140625,1.2312676155824713,1.2440294886799634,0.0013612076367953856,0.37346102844162243,0.09809882182993634,94.86938879846754,86.83240649727095,64.7942529381292,100.52192254160836,-5.130611201532453,1.4259185791015625,4.0,1,1,1,1,1.0178935155582491,-0.022862276927102965,34,US,66.07627374732607,"Expeditors International of Washington, Inc.",Industrials,0.020740516237872875,0.01415873703146298,71.50391635447889,1.2552095320715968,0.023800516967275476,73.21002857257838,0
PNC,228.3699951171875,1.3754800163200476,1.3118541133949522,-0.0005477538079913318,0.2974615816505204,0.11645795074217657,100.0,88.52660521378893,72.804725794063,188.98145420559973,-0.0,2.310663859049479,4.0,1,1,1,1,0.9075850343325239,-0.050955527910987564,35,US,65.9561951793624,"The PNC Financial Services Group, Inc.",Financial Services,0.032787627352097726,0.3375751255626698,65.89217552783714,1.0226442837887513,0.038302095780261336,73.50340053925711,0
CHRW,184.08999633789062,1.973149631264474,1.592944485164869,-0.037678030943877706,0.828282251615571,0.028281197169587546,100.0,100.0,75.34206177237505,144.82558758135337,-0.0,3.02301025390625,4.0,1,1,1,1,0.9479338214258545,-0.07596447396437289,35,US,65.94227878903547,"C.H. Robinson Worldwide, Inc.",Industrials,0.03397955116224671,2.737814507423548,84.45026423671996,0.6350227261619666,0.04239509048764978,69.54090707875568,0
EQR,68.19000244140625,0.025775036513780165,0.7558999029322063,0.08918970848650155,0.005164736522750735,0.10038010623867177,100.0,94.06062371542782,76.97124269943266,230.59557348676958,-0.0,0.6086659749348958,4.0,1,1,1,1,1.0782075848697987,0.0,35,US,65.86116611398717,Equity Residential,Real Estate,0.04186410421578568,0.3060877400677145,97.56945916161574,1.0189606412922119,0.03318103622438584,79.52022214173608,0
PSX,183.0800018310547,1.8319526160916428,1.5265380283276344,0.3290317909430096,0.539917752358086,0.11116625526187263,85.18525321141358,93.39510324183702,60.92786095302631,80.19076764725858,-14.814746788586413,2.796412150065104,4.0,1,1,1,1,0.8596316141347001,-0.020558879905529515,40,US,65.38295918123912,Phillips 66,Energy,0.04093698401384227,3.0883025630393677,84.61544104593345,0.7014356786909783,0.030631266366648147,69.58187452211357,0
VLO,255.82000732421875,2.5876906626583644,1.8819696633955525,0.9841520130019247,0.9014112649088615,0.1442613641792716,73.3301721907152,87.00457160975886,54.38760217386798,44.27013968819168,-26.669827809284797,5.156251017252604,4.0,1,1,1,1,0.91714132688409,-0.02153377173436255,40,US,65.3257826975531,Valero Energy Corporation,Energy,0.04493096834783006,5.402238485319431,74.70798556653543,0.7876520991917767,0.023972215571624655,69.63563926113727,0
KEY,21.760000228881836,1.691340129427513,1.4604064814602435,0.0006356793454501417,0.4079019953227745,0.10652314318139777,100.0,73.82497485186029,63.060864252376405,150.66253040267904,-0.0,0.2390649159749349,4.0,1,1,1,1,0.909931927532162,-0.043811645970567636,41,US,65.28160809854396,KeyCorp,Financial Services,0.030264852452816404,0.0020903856229311907,65.28653297742876,1.1361301881299002,0.024637720373339,70.19324721316755,0
UNH,399.4700012207031,0.7097625910580111,0.9987616686059508,1.7904637267040644,0.2850392003755531,0.40524843907005503,100.0,66.8766150535922,54.28353047243604,169.10405203626877,-0.0,4.72266845703125,4.0,1,1,1,1,0.9058251091018177,-0.004212788976913351,42,US,65.21524679724216,UnitedHealth Group Incorporated,Healthcare,0.05037996314876625,0.18996346052826546,87.1605984665449,1.2411045884294156,0.047841533061280694,86.4793754275826,0
SOLV,81.01000213623047,-0.18114492749764396,0.7041047910028856,-2.5390787153997766e-06,-0.049356522291911786,0.1671228621538523,81.6645385701374,93.88817952337911,70.7948298733887,173.31937471968598,-18.3354614298626,1.0926661173502603,4.0,1,1,1,1,1.371059588715284,-0.05955418260699974,42,US,65.16113191942807,Solventum Corporation,Healthcare,0.08085397511320913,2.702125122135064,84.12166138708966,0.9238488898260774,0.06595690059737191,82.68719063141376,0
GWW,1300.010009765625,0.5830573252020134,0.9426574854156596,0.18128312211675454,0.1444476772379013,0.1706064153125606,100.0,100.0,60.86992971413484,165.47039142868817,-0.0,9.22666015625,4.0,1,1,1,1,1.0217754472261538,0.0,42,US,65.15158925177533,"W.W. Grainger, Inc.",Industrials,0.053287869499967,1.5807708825999984,,0.8065217391304348,0.04229979724556765,70.61752988047809,0
LLY,1131.4200439453125,0.7359381801142694,1.0110707909598422,-8.18060665719725e-06,0.2801295711845966,0.144434352466686,100.0,88.09265350274093,71.73092525531447,120.04500507974761,-0.0,19.40733642578125,4.0,1,1,1,1,0.9922833097940144,0.0,42,US,65.07596361062735,Eli Lilly and Company,Healthcare,0.023909542031957054,0.570398265139885,62.2179269045826,0.9600940523920055,0.07382044231842033,72.01690208861524,0
JPM,312.3699951171875,0.8869514066202383,1.082093916310935,0.000305096919576903,0.19193097627042066,0.08459516796128752,100.0,82.21619609425822,64.46742160151956,167.8871091657036,-0.0,3.4946634928385416,4.0,1,1,1,1,1.0290537511900888,-0.061687802144935744,44,US,64.61688177430001,JPMorgan Chase & Co.,Financial Services,0.04363368302135351,0.06702001678227243,84.84526244479474,0.9983390520377744,0.028845855878478988,75.32005312084993,0
JCI,143.64999389648438,1.358881435980293,1.304047624656206,0.047555204557239286,0.3700795191841637,0.08831439372044891,72.20161071396254,90.7338702379875,50.70247988280405,85.95388104778057,-27.798389286037462,2.8346659342447915,4.0,1,1,1,1,1.0682966245864258,-0.025440977986970204,44,US,64.56284641871635,Johnson Controls International plc,Industrials,0.07153510750810743,1.5898737762836568,77.57333263137575,1.1935181276038873,0.021471373163166385,83.27015171636685,0
ELV,415.5299987792969,-0.025382392088955874,0.7423980121866728,0.3989629252048447,-0.009794810966428424,0.443486578766783,100.0,74.36413115898131,62.88195587836045,201.87717391243515,-0.0,6.181331380208333,4.0,1,1,1,1,1.0348925954542985,0.0,47,US,64.20670610969296,"Elevance Health, Inc.",Healthcare,0.05681730511756777,1.1275609304622283,72.52015482746803,1.1118001916896882,0.06330120274514695,84.96696044106402,0
AIZ,257.3500061035156,0.7300529126561817,1.008302887127366,0.1028718623374633,0.1790382841708189,0.15450182529094114,92.38620392619123,47.13710500068006,54.97097457333869,84.80282800513858,-7.613796073808768,1.963336181640625,4.0,1,1,1,1,1.0875834888218758,-0.0031762299320958753,48,US,64.11780025606159,"Assurant, Inc.",Financial Services,0.034074059359124664,-0.001799006099187156,95.20259366744317,1.0806475134898643,0.03498149150750063,75.25614712865709,0
CCI,94.48999786376953,-0.18292167232162715,0.7036907636806236,0.067275573908612,-0.04902830490138854,0.05795666723216342,100.0,77.59197594655168,72.25696198962939,175.26276669462987,-0.0,1.2159988403320312,4.0,1,1,1,1,1.162786740680286,-0.14060930383763093,52,US,63.686988572655494,Crown Castle Inc.,Real Estate,0.03267757228163415,0.094999626779371,67.08571697624598,1.311628629314057,0.04105579389441627,79.08841402068494,0
FTV,61.279998779296875,0.5072446001625042,0.9120041569829784,0.06631721928746868,0.1300471164122865,0.06895029737491987,94.18952859914303,98.06317619971433,64.91841077292577,127.47908648303707,-5.810471400856965,0.585332743326823,4.0,1,1,1,1,1.0527368202546754,-0.01177228772771688,53,US,63.517009805091014,Fortive Corporation,Technology,0.05075444272910978,0.4774693311419151,94.31131090659485,1.307634058000772,0.02352467223554333,84.93516841724013,0
MTB,222.44000244140625,0.9603942628874672,1.1166348721430623,-0.011705708567716373,0.2107612716905869,0.06431019466855914,100.0,92.13256944720631,78.48083221224255,169.2466926686198,-0.0,2.2749064127604166,4.0,1,1,1,1,0.9568720056265667,-0.05233391367568896,53,US,63.48229835150416,M&T Bank Corporation,Financial Services,0.03648479478489408,1.3309649780044008,69.2572580566474,1.0171782834390364,0.04075269997870268,77.26588595114491,0
UDR,39.20000076293945,-0.28148985005909055,0.6814605275296852,0.00010921202234836857,-0.055689568628338404,0.06554692098106196,100.0,90.20983498103323,69.32203839133716,181.65790278814254,-0.0,0.4213338216145833,4.0,1,1,1,1,1.2994282762625566,-0.02082229984546291,59,US,62.76950083895953,"UDR, Inc.",Real Estate,0.06233060005288893,0.03063380387640095,89.65508623173059,1.0828997457301628,0.04589409475637107,83.017747193046,0
TFC,49.20000076293945,1.280193613640669,1.2670399055382335,-0.007802708061122073,0.2982368338572976,0.06947273088054584,100.0,78.01043216595595,62.64108668012574,132.62164903746407,-0.0,0.6020004272460937,4.0,1,1,1,1,0.9777525275118547,-0.10013752440306378,66,US,62.40990131291202,Truist Financial Corporation,Financial Services,0.020535193886482617,0.0028808012760564022,59.76332340409203,1.459852205698562,0.019592174827702147,69.2970340858787,0
AVB,189.72000122070312,-0.2426048906704927,0.6900604449579337,0.07570397789127055,-0.048938388036991354,0.07838293861256718,100.0,80.05700086422907,69.08856654036296,186.70275096529292,-0.0,1.7306671142578125,4.0,1,1,1,1,1.085721590401478,-0.056073034429087176,67,US,61.97332426779906,"AvalonBay Communities, Inc.",Real Estate,0.039504722650118396,0.04925264155971194,97.4966778510672,1.0002455683998945,0.028668711853810702,75.81447945591371,0
INVH,30.040000915527344,-0.4000745172271186,0.6565091337941431,0.28323261165441593,-0.08282037470697712,0.16011037156856678,100.0,90.31530544651304,78.90413607503984,212.28574195200196,-0.0,0.27999979654947915,4.0,1,1,1,1,0.985238176945571,-0.07913678318826023,74,US,61.671974775548506,Invitation Homes Inc.,Real Estate,0.02700857830862713,0.00718788440027552,75.4839130445483,0.9705760608688868,0.03732830503093898,70.35671455591775,0
AFL,118.23999786376953,0.7643580942915564,1.0244369786361314,0.02343216781947122,0.12929911832309848,0.06795105547139824,100.0,64.54483309670478,56.679411522741084,84.85555133472707,-0.0,1.0417943318684897,4.0,1,1,1,1,1.0834659487693374,0.0,75,US,61.546846545951915,Aflac Incorporated,Financial Services,0.05177014578916728,-0.0002174538042273289,95.18636943595746,1.0952045439988098,0.028252077090599848,77.32729687311361,0
FOXA,66.88999938964844,0.6180683112853875,0.9575199518973354,0.03091603405232382,0.17547886806221302,0.1189361116684049,100.0,56.170747117637035,56.81817486383387,134.49689428519923,-0.0,1.028668212890625,4.0,1,1,1,1,0.9894157417115587,-0.11682929907779571,79,US,61.16844001240546,Fox Corporation,Communication Services,0.046464350841393776,0.18392531219701044,68.4931610971128,0.8958261871538613,0.029060319225523434,69.05589762163467,0
