symbol,price,ram_raw,ram_score,exp_slope,ret_12_1,ret_3m,stoch_k,stoch_d,rsi,cci,wpr,atr,ma_score,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,rank_change,market,momentum_score,name,sector
EOS.AX,10.970000267028809,2.731946783072345,2.4784942483025523,0.4311308205274224,2.9733331468370228,0.10696270796548069,70.34483106373482,76.16857978833256,65.24823059600855,52.17747550127716,-29.655168936265184,0.47000001271565756,4.0,1,1,1.0,1.0,1.1473052124554057,-0.10522022330913783,,AU,77.47378454478277,Electro Optic Systems Holdings Limited,Industrials
KLV.AX,0.07599999755620956,3.441637907591582,2.957390342655615,16.659233510117435,4.7777781457077,1.8148146512904164,94.99998975545145,98.33332991848381,64.51612089166616,109.4748484508739,-5.00001024454855,0.002266666789849599,4.0,1,1,1.0,1.0,0.8044861350575788,-0.012987039376318621,,AU,77.43642428650948,KLEVO FPO [KLV],Technology
CML.AX,0.3499999940395355,1.7425171225943463,1.8108319602036587,2.553898820735359,1.555555445176588,0.48936168054155016,72.22221670327386,70.37036669107147,50.0,64.71353513043188,-27.77778329672615,0.014666666587193808,4.0,1,1,1.0,1.0,1.3191052630629672,-0.06666668256123864,,AU,77.38249720188469,CONNECTMIN FPO [CML],Basic Materials
BOA.AX,0.057999998331069946,1.9162682964478275,1.9280784011874879,2.1537334510593973,1.5000000931322597,0.4871794137023624,29.999992549417847,36.190485110899886,61.29032568182451,-21.212165911047286,-70.00000745058215,0.0020666658878326417,4.0,1,1,1.0,1.0,1.3119555113010526,-0.10769230063850332,,AU,77.22018231028414,BOA Resources Limited,Basic Materials
SEN.AX,3.0999999046325684,0.7474745377306256,1.1393820982245895,0.5745913411381921,0.4830019062557023,0.49397582332253,92.64703149614306,91.66664037050244,81.24999379118309,80.69367790429921,-7.352968503856946,0.06600000063578287,4.0,1,1,1.0,1.0,1.1952581787914776,-0.015873075943202752,,AU,77.10571821384136,Senetas Corporation Limited,Technology
SKK.AX,0.029999999329447746,0.808891603595244,1.1808260334141627,-0.010214568137218029,4.24999967985788,0.42857141590037306,92.30769120553543,91.37529562603424,65.51724115783054,116.3727866271405,-7.692308794464562,0.002066666632890701,4.0,1,1,1.0,1.0,1.4395211450664016,-0.5454545531514263,,AU,77.04561662017116,Stakk Limited,Technology
CCL.AX,4.949999809265137,1.5891739288997593,1.7073567242611067,0.6407378621404373,0.6136974338799359,0.18421052931778625,100.0,100.0,77.46479629974137,129.62943059712885,-0.0,0.04733330408732096,4.0,1,1,1.0,1.0,1.0127822666961588,0.0,,AU,76.94228846191552,CUSCAL LTD FPO [CCL],Technology
RG1.AX,2.3299999237060547,1.0543070239295111,1.346431156870811,0.2050105928711681,0.2565147122760283,0.19487172652827223,95.0000029802333,92.50000447034995,85.18519172616465,42.42424242424238,-4.999997019766695,0.03599998156229655,4.0,1,1,1.0,1.0,2.5,-0.00851063052687262,,AU,76.91231571257269,Regal Partners Global Investments Limited,Financial Services
SRG.AX,3.819999933242798,2.320157156198324,2.200620625268778,0.13275338092770117,1.0875534785767305,0.4308315174346369,100.0,100.0,89.69072925131142,130.8080671855522,-0.0,0.0713333288828532,4.0,1,1,1.0,1.0,0.8864452541018916,0.0,,AU,76.85074517513192,SRG Global Limited,Industrials
ATV.AX,0.024000000208616257,0.14867307184845036,0.7907099815223709,0.022057441392970625,0.3333334023201937,1.0,100.0,88.88888543954552,71.42856445949363,249.05008668248675,-0.0,0.0017333338658014933,4.0,1,1,1.0,1.0,2.124512490174009,-0.4545454468485737,,AU,76.59246642981505,ActivePort Group Ltd,Technology
CVW.AX,0.6349999904632568,0.7637343783071285,1.1503541589956265,0.32853958255409954,0.29896902402005665,0.015999984741210893,,,,,,0.0003333330154418945,4.0,1,1,1.0,1.0,1.2792071791255923,-0.007812492724042275,,AU,76.56309652239213,ClearView Wealth Limited,Financial Services
SLS.AX,1.5499999523162842,3.9648817255953435,3.310472707897445,3.138572402328489,4.340000152587891,0.5979380480401133,85.29409805383841,92.4938565106964,66.02563181651317,61.35844092819714,-14.705901946161584,0.055333367983500165,4.0,1,1,1.0,1.0,0.843755200229104,-0.06626507019093375,,AU,76.50138687378933,Solstice Minerals Limited,Basic Materials
SXE.AX,4.170000076293945,3.890550999894319,3.2603146983087474,2.415438537989423,1.5919231079258087,0.4602079360048943,78.7234258414273,86.84720583720686,55.963309775820846,73.84960894882352,-21.276574158572693,0.08133331934611003,4.0,1,1,1.0,1.0,1.007180137907235,-0.023419181517389642,,AU,76.39220444389844,Southern Cross Electrical Engineering Limited,Industrials
AVE.AX,0.013000000268220901,1.3758462428202571,1.5634042466955225,0.4968454888108458,1.8888890728538499,0.08333334626836897,100.0,50.00000000000001,50.0,135.65891472868225,-0.0,0.0006666667759418488,4.0,1,1,1.0,1.0,1.367487042018703,-0.07142858093186266,,AU,76.33176212866185,Avecho Biotechnology Limited,Healthcare
FAR.AX,0.2750000059604645,1.8051383485098522,1.8530884566969068,1.1356061714640786,0.6689188960363002,0.14678898626495762,46.80850614118707,64.53900409412472,59.38569434237661,12.963018152454296,-53.19149385881293,0.004053324460983276,4.0,1,1,1.0,1.0,1.60681039863761,-0.05172409009139556,,AU,76.29224873167477,FAR Limited,Energy
CXU.AX,0.05700000002980232,4.863849745936218,3.917091924364594,4.441281876684574,7.5714281152705905,0.965517298964061,100.0,84.61538241107088,60.869566977925466,188.68314681547102,-0.0,0.00360000009338061,4.0,1,1,1.0,1.0,0.4641064577965224,-0.17391302235185035,,AU,76.21904253356979,Cauldron Energy Limited,Basic Materials
DNL.AX,3.8499999046325684,1.1204294034725797,1.3910502146812882,0.0870381411106084,0.28577872263571047,0.13569315206301336,100.0,92.98246494620525,70.68965021126758,144.7154244614327,-0.0,0.04400002161661784,4.0,1,1,1.0,1.0,1.2878535768230017,0.0,,AU,76.12619552465833,Dyno Nobel Limited,Basic Materials
RDX.AX,3.5,1.4986189026013825,1.6462506361052078,0.07636080822717231,0.6479434589897315,0.1326861156049286,100.0,100.0,74.48979641486584,129.20739305761302,-0.0,0.06600000063578287,4.0,1,1,1.0,1.0,1.0746610852280019,0.0,,AU,76.09298189061754,Redox Limited,Basic Materials
SDI.AX,1.3600000143051147,0.928129182184536,1.261286967352446,1.200388764305465,0.48978441641002823,0.07509883769527814,100.0,96.96970025369899,82.35295355114044,97.57575757575621,-0.0,0.011666663487752279,4.0,1,1,1.0,1.0,1.1450831189739006,0.0,,AU,75.92878684157304,SDI Limited,Healthcare
CUF.AX,0.057999998331069946,5.658866513007565,4.0,0.08811082162098137,7.142856895771569,0.3488371246824298,37.499998059744655,63.88888845772103,56.86274352256101,-53.846167072036444,-62.500001940255345,0.0034000004331270852,4.0,1,1,1.0,1.0,1.5098996735321721,-0.2054794632397534,,AU,75.82349805701998,CuFe Ltd,Basic Materials
BOL.AX,1.850000023841858,1.1930559334830273,1.4400582413661085,0.044086041162718304,0.30476189241748086,0.0027100244737636725,100.0,66.66666666666667,69.23079744598672,429.3334423700437,-0.0,0.008666666348775227,4.0,1,1,1.0,1.0,1.5273808742923727,-0.021164001140624777,,AU,75.70886346268058,Boom Logistics Limited,Industrials
AYA.AX,4.789999961853027,5.251438300624292,4.0,1.8957301200108558,4.8169933235005145,0.4088234786756326,56.756784621610265,41.70980600444995,49.25373187440106,52.64960030048049,-43.243215378389735,0.10533332824707031,4.0,1,1,1.0,1.0,1.0649787467872964,-0.05522686397002563,,AU,75.66709974536292,Artrya Limited,Healthcare
SLB.AX,0.14000000059604645,0.2891474178845276,0.8547777137562002,2.5272602547541925,0.36363642521141015,1.0,77.77777041918117,92.59259013972705,60.86956437233492,55.118104049345924,-22.222229580818833,0.007666666805744171,4.0,1,1,1.0,1.0,2.247579572338556,-0.06666669978035689,,AU,75.5510463819226,Stelar Metals Limited,Basic Materials
