symbol,price,ram_raw,ram_score,exp_slope,ret_12_1,ret_3m,stoch_k,stoch_d,rsi,cci,wpr,atr,ma_score,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,rank_change,market,momentum_score,name,sector
NIO.SI,5.650000095367432,1.1316444960298373,1.398618104200996,0.5109767545592977,0.6318681005578799,0.18200833627033752,38.095251611028104,50.362330887773886,38.805971211488504,-4.5751536211788615,-61.904748388971896,0.18733332951863607,1.0,0,0,1.0,0.0,1.0928542540924844,-0.27564103112731764,,SG,62.752626005908425,NIO Inc.,Consumer Cyclical
S63.SI,10.890000343322754,1.509296803439505,1.653456031284315,0.27427887478938706,0.3922827984230828,0.018620363106848448,22.019827345466908,59.04140231757568,63.03091327661451,-109.90683059021171,-77.98017265453309,0.15241330464680988,2.0,0,0,1.0,1.0,1.0497588017533468,-0.0430579759394174,,SG,62.64553775667457,Singapore Technologies Engineering Ltd,Industrials
TS0U.SI,0.35499998927116394,1.7265381637126294,1.800049437024344,-0.0034153577086048,0.3925445448504803,-0.04054058190241916,100.0,33.33333333333332,50.0,93.333333333334,-0.0,0.002666664123535156,1.0,0,0,0.0,1.0,1.1519593440196751,-0.05333336194356286,,SG,62.606259898799294,OUE Real Estate Investment Trust,Real Estate
EH5.SI,0.6000000238418579,1.0213086639279534,1.3241640251865765,0.00930367047269381,0.42799447451258077,-0.018087817489325198,,,0.0,,,0.004333333174387614,3.0,0,1,1.0,1.0,1.3166047087980173,-0.09774435416307958,,SG,62.375029186156446,United Overseas Australia Ltd,Real Estate
558.SI,2.5299999713897705,2.919291277257126,2.6049133952580945,10.001847669738057,1.52404017821011,0.7017261434596909,0.0,3.1249976716930874,33.6842020726871,-178.94750711334603,-100.0,0.07066663106282552,3.0,0,1,1.0,1.0,0.9635908912440903,-0.14237290491697496,,SG,62.124824519994135,UMS Integration Limited,Technology
C6L.SI,6.96999979019165,-0.32950622246374617,0.6299771172496991,-0.005108575389512062,-0.050411828853449414,0.043413169057693324,87.4999441206755,95.83331470689183,83.13245882690208,111.41130640224631,-12.500055879324501,0.06533342997233073,4.0,1,1,1.0,1.0,1.072708426080013,-0.0292479168757257,,SG,61.92383684857648,Singapore Airlines Limited,Industrials
EB5.SI,2.609999895095825,4.5220081576612685,3.6864188951320247,1.8570144624560552,1.6996387679809257,0.1086681054432137,0.0,3.466663360595722,6.711402952518057,-86.93054883933041,-100.0,0.10533334414164225,1.0,0,0,0.0,1.0,1.1865398254974169,-0.3307692740325616,,SG,61.757662907226766,First Resources Limited,Consumer Defensive
BWM.SI,0.5849999785423279,0.9079375205896297,1.2476617330184956,0.25740802010955793,0.29999999293414903,0.05786619672767257,39.999904632704784,46.666555404822226,47.05882765429883,-29.535974172763083,-60.000095367295216,0.005666669209798177,4.0,1,1,1.0,1.0,0.9077633535065026,-0.07534665299597254,,SG,61.39692816700345,Zheneng Jinjiang Environment Holding Company Limited,Utilities
CJLU.SI,0.9850000143051147,2.256234678081044,2.157486050164049,0.08342515587609331,0.19393546315927335,0.032814195843958505,12.280970821670948,61.01376480963154,43.774663007773526,-53.27937837812112,-87.71902917832905,0.00408634344736735,3.0,0,1,1.0,1.0,1.095920119033681,-0.014999985694885254,,SG,61.25031099225947,NetLink NBN Trust,Communication Services
T82U.SI,1.4500000476837158,2.0853369821243146,2.042165122086983,0.023723471124294983,0.4096175576581391,0.08011722665871956,60.000095367295216,40.00006357819683,52.94116822082568,-25.92579837696276,-39.999904632704784,0.012000020345052083,2.0,0,0,1.0,1.0,0.8468103789452854,-0.05228420997271033,,SG,61.20411845592615,Suntec Real Estate Investment Trust,Real Estate
J69U.SI,2.2699999809265137,0.7204485408770008,1.121145087936534,0.0010620069913659363,0.08298236941120196,0.01793720247125674,100.0,94.44444444444444,61.11111111111111,83.64779874213892,-0.0,0.012666654586791993,3.0,1,1,1.0,0.0,0.8476097902885613,-0.04986244512374749,,SG,60.98620017519171,Frasers Centrepoint Trust,Real Estate
5WJ.SI,0.8849999904632568,6.330019620579131,4.0,0.5032185171491715,3.5410629745325357,0.17433657120462964,9.09089923890297,5.071122196312977,17.948726570031766,-103.70373931568382,-90.90910076109702,0.021666669845581056,2.0,0,0,1.0,1.0,0.9757943427298266,-0.24358972399584256,,SG,60.19161553386027,MoneyMax Financial Services Ltd.,Consumer Cyclical
BEC.SI,4.550000190734863,2.246444835821894,2.150879912563814,0.25018018855882534,0.49222489563625005,0.05198899683004554,0.0,12.121185849224277,28.81353055560494,-138.98280610470374,-100.0,0.04933328628540039,2.0,0,0,1.0,1.0,1.5114661169801598,-0.05208333126372766,,SG,60.0958414950774,BRC Asia Limited,Basic Materials
SET.SI,1.5700000524520874,0.7035810098830361,1.1097629606486084,0.0014354376179367607,0.1281562947331012,-0.006329107716228521,71.42862008538785,47.619023290639404,58.33333747253845,61.11119389517245,-28.57137991461215,0.017333356539408366,4.0,1,1,1.0,1.0,0.7229447482881874,-0.028118923259626727,,SG,59.98407897255096,Stoneweg Europe Stapled Trust,Real Estate
HPPD.SI,1.4500000476837158,,,-0.49290190358569036,,-0.1216876215863485,91.66667494508923,95.77295112169993,80.10404006555615,93.33335035702618,-8.333325054910777,0.02542067368825277,2.0,1,1,0.0,0.0,1.301328320196985,,,SG,59.643844909970696,h POP MART HK SDR 20to1,
P52.SI,1.5,2.9668911816105625,2.637033577544272,1.1849290572489104,1.1155340387334323,0.05776693691485324,14.999991059300086,7.564097232601125,25.806441689127382,-42.98245944254743,-85.00000894069991,0.025999991099039714,2.0,0,0,1.0,1.0,0.8739855378504247,-0.13294798643797956,,SG,59.48461797295687,Pan-United Corporation Ltd,Basic Materials
EMI.SI,0.3449999988079071,1.1047085449770666,1.380441856378261,0.00034839158437935353,0.7183507525656077,0.0,,,,,,0.0,2.0,0,0,1.0,1.0,0.1187648456057007,0.0,,SG,59.084267275638844,Emperador Inc.,Consumer Defensive
AP4.SI,0.8700000047683716,0.3859715935579343,0.9053392510074232,0.2441796133997333,0.13912728376671013,0.23214363195653354,0.0,7.407397595946904,39.99999403953517,-138.46154598559647,-100.0,0.01499999761581421,3.0,0,1,1.0,1.0,1.4972895384141096,-0.10309280504365892,,SG,58.67481571590179,Riverstone Holdings Limited,Healthcare
TSCD.SI,0.8899999856948853,1.454812724181018,1.6166904414948307,0.05345681962654291,0.521161838280122,0.2093093283284122,40.0,46.666666666666664,41.66666666666667,-31.884057971014748,-60.0,0.0039999961853027345,3.0,0,1,1.0,1.0,0.2270926855030367,-0.0531915021784547,,SG,58.24545950943676,t SiamCement TH SDR10to1,Basic Materials
