symbol,price,ram_raw,ram_score,exp_slope,ret_12_1,ret_3m,stoch_k,stoch_d,rsi,cci,wpr,atr,ma_score,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,rank_change,market,momentum_score,name,sector,ret_1w,weekly_exp_slope,weekly_rsi,vol_surge,price_vs_ema20,weekly_score
BAC,53.83000183105469,0.9999045342586583,1.1161555239040262,1.6849862935294318e-05,0.2153327512555856,0.11245250901927561,98.2669748971402,98.43832052087906,78.32582395056772,174.25228200687394,-1.7330251028598,0.5133527119954427,4.0,1,1,1.0,1.0,1.1043453265423449,-0.04950949876743216,0,US,70.68342548512504,Bank of America Corporation,Financial Services,0.04863743832817402,1.5140739716975062,92.24630272235304,1.1777477354094035,0.0393567157201431,86.24576378546894
STX,847.469970703125,8.01257225416996,4.0,10.380697148216496,5.079235404051495,1.4063160964952832,55.04002138320235,82.65007074256486,57.132667235515456,-1.892943999774093,-44.95997861679765,24.920670572916666,4.0,1,1,1.0,1.0,0.864445938230445,-0.09909750448749743,0,US,70.66322602568542,Seagate Technology Holdings plc,Technology,-0.03674700788635554,3.8416720448082318,39.51073669502511,0.7088010822041618,0.019626889982527596,47.87568360189373
MPC,262.010009765625,1.77174215093677,1.517783284951568,1.1688864439651587,0.5552883275111424,0.18858449732706561,74.20642519518167,91.13758525992057,56.03620609071868,57.17662319082933,-25.793574804818327,4.802396647135416,4.0,1,1,1.0,1.0,1.0418829932397675,-0.0194602816351922,0,US,70.51631868295941,Marathon Petroleum Corporation,Energy,0.053221872676672,4.389069512366368,78.00343258659406,0.9411079656323754,0.03029932257625867,79.80710814931663
URI,1067.77001953125,0.861484083030311,1.0441280731698954,0.21561154633158408,0.35885833068807793,0.32161006017536264,89.26753147392516,96.42251049130839,74.06119491796234,135.31689741338755,-10.732468526074841,15.558003743489584,4.0,1,1,1.0,1.0,0.9307290901073056,-0.015535372445459106,0,US,70.12290618726782,"United Rentals, Inc.",Industrials,0.07241358869769177,30.520713526458202,82.2451003995674,1.131732511235449,0.08483582153529756,90.49017778869914
COHR,376.989990234375,4.157293308502534,2.7591111880940224,4.41138363607007,3.0074073612879832,0.5993126942223359,31.886407640807402,70.72069407555273,48.64542499890976,-15.938052336383437,-68.1135923591926,14.935335286458333,4.0,1,1,1.0,1.0,1.0016009864220756,-0.11689199255493798,0,US,70.01899677862431,Coherent Corp.,Technology,0.04293575943027106,1.992704704166774,56.24496377850032,1.019915074539588,-0.0005233817718857114,69.19226141055879
TJX,160.7100067138672,1.2554597232764628,1.249134347650714,0.00012876936056720306,0.22366310111792753,0.01196501226680624,100.0,94.67691743384599,72.72417273858555,110.7667112105847,-0.0,1.9533335367838542,4.0,1,1,1.0,1.0,1.275254246425532,-0.022809784027630786,0,US,69.98712010250706,"The TJX Companies, Inc.",Consumer Cyclical,0.03851377521077337,0.0030766950820152656,79.91969225065455,0.8350802704630985,0.032334988793502495,69.16740508566609
SNDK,1559.3199462890625,33.63802147481448,4.0,27.002382568497303,33.25255617390535,1.957009644348377,45.39909345361847,76.99719775461212,57.139223380656716,-17.20792550730868,-54.60090654638153,72.49335123697917,4.0,1,1,1.0,1.0,0.8219212608221358,-0.14861045793662986,0,US,69.84701557279725,Sandisk Corporation,Technology,-0.0800363636992163,7.447877349716923,36.40245598983385,0.7172218071244482,0.012013296037183707,43.642036000027225
PFG,105.22000122070312,1.6327128812436735,1.4454390339065974,0.2311748885006023,0.3548234723576422,0.15991107183269104,100.0,75.38143116025351,68.13705013177703,178.36076963852312,-0.0,1.0240397135416666,4.0,1,1,1.0,1.0,0.8935328683194423,0.0,0,US,69.8215626550874,"Principal Financial Group, Inc.",Financial Services,0.023540837520470648,0.0014146963958597374,68.16818605674172,0.9563906265425728,0.03295910530911561,69.09962935741875
LRCX,303.2799987792969,4.70156844904326,3.0423262081522786,1.1571748790058005,2.3991202143519232,0.5214969948996773,42.51386265481718,77.37807972814629,56.94714914825818,-33.893048034047446,-57.48613734518282,9.867329915364584,4.0,1,1,1.0,1.0,0.9605378734932133,-0.11762821471852769,0,US,69.64794196124474,Lam Research Corporation,Technology,-0.046828820917307556,0.2526707165387449,39.05699409864872,1.0224077680698707,-0.012191320520267501,45.699357108966566
ON,117.26000213623047,1.9186705109104438,1.5942378486777926,5.95138427503844,1.0308841088215912,1.0618956275465554,40.27232923999356,77.57078877271518,53.16166590310701,-25.080795749617007,-59.72767076000644,4.725998942057291,4.0,1,1,1.0,1.0,1.026017623745884,-0.1244679418441067,0,US,69.53773601205108,ON Semiconductor Corporation,Technology,-0.02785608136165274,0.2397223791794623,44.39625950748383,0.8865219221567561,0.002572608154513434,48.77489666648562
